annotation_instance_id	annotator_id	error_tag_leaf	template_id	source	corrected	feedback_explanation	feedback_suggestion
batch_2_077	a_1	Other Determiner Error	Other Determiner Error_00	His advice helped me to increase the sales of [NONE] main e - retail partners.	His advice helped me to increase the sales of our main e - retail partners.	You need a determiner here - a word to clarify which main e-retail partners you are talking about.	Add a determiner (such as "the," "my," "our," etc.) before "main e-retail partners."
batch_2_079	a_1	Fixed Expressions	Fixed Expressions_01	Those people could be politicians, film stars, singers, football players and so on, living in constant stress because they can not have a 'normal' life, and, from my point of view, that's normal because they live for this, they are public people and, because of this, they have to keep calm and carry [NONE] with it.	Those people could be politicians, film stars, singers, football players and so on, living in constant stress because they can not have a 'normal' life, and, from my point of view, that's normal because they live for this, they are public people and, because of this, they have to keep calm and carry on with it.	The correct phrase is "keep calm and carry on."	Add "on" to complete the phrase.
batch_2_080	a_2	Pronoun Antecedent	Pronoun Antecedent_03	The question is if it is good to take a leaf out of their book and I am going to talk about it.	The question is if it is good to take a leaf out of their book and I am going to talk about that.	"It" might not be very clear here. "It" sounds like it might refer to something mentioned in another sentence. "That" is more appropriate for something you just introduced.	Change the word "it" to "that."
batch_2_081	a_1	Conditional	Conditional_03	Because there are nearly 70 billion people in the world, if everyone traveled by car even the half, the pollution will be a burden on the world.	Because there are nearly 70 billion people in the world, if everyone traveled by car even the half, the pollution would be a burden on the world.	"Will be" is incorrect here because you are talking about a hypothetical situation, which needs a second conditional.	Use the pattern "if... (past simple verb), ... would + (base form verb)" for hypothetical or imagined situations.
batch_2_082	a_1	Prepositions: Means/Agent	Prepositions: Means/Agent_01	To sum up, if you want to learn English, you don't need to go abroad. You can improve your English [NONE] working hard in your own country, for example, by doing exercises like listening and writing, or you can meet with native people who speak English to practise with them.	To sum up, if you want to learn English, you don't need to go abroad. You can improve your English by working hard in your own country, for example, by doing exercises like listening and writing, or you can meet with native people who speak English to practise with them.	A preposition is needed before "working" to show it is how the English is being improved.	Add "by" before "working."
batch_2_083	a_1	General Collocations	General Collocations_00	Secondly, I am so happy that you are glad with your new home. And what is it like?	Secondly, I am so happy that you are pleased with your new home. And what is it like?	It does not sound natural to use "glad" with "with."	Try "pleased" instead of "glad."
batch_2_085	a_1	Vocabulary Choice	Vocabulary Choice_00	When you get to the highest tower, you will watch the most breathtaking view.	When you get to the highest tower, you will see the most breathtaking view.	"Watch" is used for things that move or change. "See" is better for enjoying scenery.	Change "watch" to "see."
batch_2_086	a_1	Plural vs. Singular: Noun Number	Plural vs. Singular: Noun Number_03	This is where all the beautiful girl are shown to the young men of the community.	This is where all the beautiful girls are shown to the young men of the community.	"Girl" is a countable noun, so if we talk about "all" of them, you can't use the singular here.	Change "girl" to the plural.
batch_2_087	a_2	Casual or Informal Language	Casual or Informal Language_01	I would love to answer any question you could ask at this email [NONE], qq@gmail.com, and this mobile phone number, 666666666. I would be delighted to attend an interview whenever suits you.	I would love to answer any question you could ask at this email address, qq@gmail.com, and this mobile phone number, 666666666. I would be delighted to attend an interview whenever suits you.	Using only the word "email" here may sound casual or informal. The more formal "email address" may be better for essays and emails.	Consider changing this to "email address" to sound more formal or professional.
batch_2_088	a_2	Plural vs. Singular: Noun Number	Plural vs. Singular: Noun Number_00	There are many city in the world planning car free days and promoting the use of public transport.	There are many cities in the world planning car free days and promoting the use of public transport.	The word "city" is a countable noun, but you are referring to multiple.	Change the word "city" to its plural form.
batch_2_090	a_2	Purpose Clause	Purpose Clause_02	She had an accident today, so I have to stay here for care for her.	She had an accident today, so I have to stay here to care for her.	You can't use "for care for" to express purpose. Purpose clauses typically use a phrase with a to-infinitive or a that clause.	Consider removing "for" and changing "care for" to the to-infinitive.
batch_2_091	a_1	Purpose Clause	Purpose Clause_03	In conclusion, public transportation will still play an important role in transportation in a city, unless environmentally - friendly vehicles are promoted by the government and the roads and highways in a city are managed well to accommodating a huge number of cars.	In conclusion, public transportation will still play an important role in transportation in a city, unless environmentally - friendly vehicles are promoted by the government and the roads and highways in a city are managed well to accommodate a huge number of cars.	"Accommodating" should not be in the -ing form here. When talking about purpose, you can use a to-infinitive (to + verb (base form)).	Change "accommodating" to the base form.
batch_2_092	a_1	Spelling	Spelling_00	When these people can drive a self - driving car, they feel more comfortable and the can live more freely.	When these people can drive a self - driving car, they feel more comfortable and they can live more freely.	This word may be misspelled.	Did you mean "they?"
batch_2_093	a_2	Contractions	Contractions_00	My favorite book right now is: 'The Fault in our Stars', because its a really good subject and it is sad but a great story.	My favorite book right now is: 'The Fault in our Stars', because it's a really good subject and it is sad but a great story.	"Its" is not short for "it is." You are missing an apostrophe.	Add an apostrophe to change "its" to "it's."
batch_2_095	a_2	Stylistic Redundancy	Stylistic Redundancy_00	Furthermore, we use personal vehicles or rent cars for travelling, because it is more convenient and gives us the feeling of our independence.	Furthermore, we use personal vehicles or rent cars for travelling, because it is more convenient and gives us the feeling of [NONE] independence.	Since you mention the feeling is given to "us," it is not necessary to use "our" here. The sentence would sound more natural without it.	Consider removing "our."
batch_2_096	a_1	Tense: Tense Choice	Tense: Tense Choice_00	The first accurate translation of Hamlet from the original is published in 1828.	The first accurate translation of Hamlet from the original was published in 1828.	It seems like this happened in the past, but you are using the present tense.	Try changing "is" to the past tense.
batch_2_098	a_1	Plural vs. Singular: Noun Number	Plural vs. Singular: Noun Number_00	These small thing give me a lot.	These small things give me a lot.	"Thing" is singular here, but you seem to be talking about more than one.	Change "thing" to be plural.
batch_2_099	a_1	Expressions of Place	Expressions of Place_01	It is true that water sports are not the most usual there, but, I enjoy doing them every summer on the beach.	It is true that water sports are not the most usual there, but, I enjoy doing them every summer at the beach.	"On" may not be the best preposition to use here. "On the beach" means being on the sand or rocks of the beach itself, while "at the beach" is broader and includes the water.	Consider changing "on the beach" to "at the beach."
batch_2_100	a_2	Verb + Preposition + Argument	Verb + Preposition + Argument_01	On the one hand, Berlusconi compromised his position when some journalists told the world [NONE] some wiretappings of his which would compromise his future political career; on the other, Luciano Ligabue won the award for the best song of the year, bringing his career ever forward.	On the one hand, Berlusconi compromised his position when some journalists told the world about some wiretappings of his which would compromise his future political career; on the other, Luciano Ligabue won the award for the best song of the year, bringing his career ever forward.	The word "tell" requires the word "about" to refer to a general story or explanation.	Add the word "about" before "some wiretappings."
batch_2_102	a_2	Other Style/Register Issue	None	This essay will argue that genetically modified food can be the way out of the problem of food deficit and this will be done by focusing on its environmental benefits and increased food yield.	This essay will argue that genetically modified food could be the way out of the problem of food deficit and this will be done by focusing on its environmental benefits and increased food yield.	"Can" might be a little too confident here. In academic writing like an essay, it is often best to be careful with strong statements.	Consider changing "can" to a less confident word like "could" or "may."
batch_2_103	a_1	Tense: Tense Choice	Tense: Tense Choice_00	He will deal with temporarily disabled people who came for a rehabilitation session every other day.	He would deal with temporarily disabled people who came for a rehabilitation session every other day.	"Will" is for the future, but this seems like something that happened often in the past. The "habitual past" may be better.	Consider changing "will" to "would" or "used to" to make this the habitual past tense.
batch_2_104	a_1	Missing/Unnecessary Article	Missing/Unnecessary Article_03	The responsibility of the educational institutions is to make sure that he/she won't be in danger in the swimming pool instead of dissuading him/her from getting close to the water.	The responsibility of [NONE] educational institutions is to make sure that he/she won't be in danger in the swimming pool instead of dissuading him/her from getting close to the water.	The article "the" is not necessary because you are talking about all educational institutions in general.	Remove the article "the."
batch_2_105	a_2	Expressions of Time	Expressions of Time_00	In the meanwhile, if people prefer to take buses or subways, there will be less noise in the streets.	In the meantime, if people prefer to take buses or subways, there will be less noise in the streets.	The word "meanwhile" is only used on its own as as an adverb. You may be thinking of the word "meantime" which combines with "in the" to make an adverbial phrase.	Change the word "meanwhile" to "meantime."
batch_2_106	a_2	Spelling	Spelling_00	Secondly, we have and amazing script that can be considered unique.	Secondly, we have an amazing script that can be considered unique.	This word may be misspelled.	Change the word "and" to "an."
batch_2_107	a_1	Prepositions: Means/Agent	Prepositions: Means/Agent_00	The main reason is the convenience of travelling by cars in comparison with using public transport.	The main reason is the convenience of travelling by car in comparison with using public transport.	When using "by" with a noun to describe how something is done, it is necessary to use the singular version of the noun.	Change "cars" to be singular.
batch_2_108	a_1	Participle	Participle_00	Higher power efficiency and linearity cause decreased power consumption, increase lifetime and reduction of interference channels.	Higher power efficiency and linearity cause decreased power consumption, increased lifetime and reduction of interference channels.	A verb like "increase" can not be used in this form to modify "lifetime." It must be changed into a participle.	Change "increase" to the past participle.
batch_2_109	a_1	Determiner-Noun Agreement	Determiner-Noun Agreement_00	However, underground trains and buses are equipped with such a powerful heating systems that you forget about the cold.	However, underground trains and buses are equipped with such [NONE] powerful heating systems that you forget about the cold.	The singular indefinite article "a" can not be used with plural nouns.	Remove the article "a."
batch_2_110	a_2	Vocabulary Choice	Vocabulary Choice_00	You lost your flight and it was a business trip! You're going to get fired! ',	You missed your flight and it was a business trip! You're going to get fired! ',	The word "lost" refers to something that has been forfeited or misplaced. "Missed" is more appropriate for failing to get on a plane.	Change the word "lost" to "missed."
batch_2_111	a_2	Tense: Tense Choice	Tense: Tense Choice_00	At first, I completely agree with this, but then when I started to think about it I realized that it's not like that.	At first, I completely agreed with this, but then when I started to think about it I realized that it's not like that.	Use the simple past tense to refer to actions that occurred in the past.	Change the word "agree" to its simple past-tense form.
batch_2_112	a_2	Missing/Unnecessary Article	Missing/Unnecessary Article_00	Additionally, climate change related to natural disasters also causes famine, which has caused deaths and forced people as well as animals to leave their homes. More seriously, [NONE] climate is continuingly changing and still contributing to natural disasters.	Additionally, climate change related to natural disasters also causes famine, which has caused deaths and forced people as well as animals to leave their homes. More seriously, the climate is continuingly changing and still contributing to natural disasters.	To talk about a specific climate, use the definite article.	Add the definite article "the" here.
batch_2_113	a_2	Run-on Sentence	Run-on Sentence_00	The place is very near where I live, and I've worked in a lot of Cafes before, [NONE] unfortunately, I had to leave them for school and college.	The place is very near where I live, and I've worked in a lot of Cafes before, but unfortunately, I had to leave them for school and college.	This is a run-on sentence. It must be broken up or connected more smoothly.	Consider adding a conjunction here or changing the comma to a semicolon or period.
batch_2_114	a_2	Spelling	Spelling_00	But when they became more frequent and witnesses described huge, flurry, dark and terrifying creatures with blood - shot eyes, panic grew in the population.	But when they became more frequent and witnesses described huge, furry, dark and terrifying creatures with blood - shot eyes, panic grew in the population.	You may have misspelled the word "furry" here.	Change the word "flurry" to "furry."
